id,assistant_id,name,description,created_at,active,phone,payment_status,summary_time,niche,expectation,subject,link,updated_at
98,asst_WZIK8ZnOIae3xRRTqQv5qkMv,Mulheres do SEO 🌎,"Um espaço para mulheres trocarem experiências, dicas e apoio sobre SEO, promovendo um ambiente de aprendizado e colaboração.",2025-04-03 21:47:30.482746+00,t,120363381892002792-group,CANCELED,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
291,asst_wSjsvffIJcZPUME6E99vesSR,Pileco Muquiranis e Perdularis,"Um grupo caracterizado pela interação dinâmica e bem-humorada entre seus membros, onde predominam trocas de mensagens informais, piadas e reações emoji. A abordagem dos membros é calorosa, com boas-vindas a novos integrantes e discussões que misturam assuntos pessoais e temas atuais, com um tom leve e descontraído. Conversas frequentemente incluem referências a interesses comuns e brincadeiras sobre reações e comportamentos dos participantes.",2025-08-14 23:34:49.683864+00,t,556184088564-1495221374,PARNER,19,Espiritualidade e Propósito de Vida,Resumir o que foi falado,Grupo de amigos,https://chat.whatsapp.com/DaJj05C1sieGxvcI7d4Pdj?mode=ac_t,2025-08-19 16:21:09.994802+00
290,asst_byh0mIjximEmQHaJTTmJTivz,Eu Levo | Hub Tático,"""Grupo focado em estratégias de marketing digital, rastreamento de conversões e otimização de campanhas. Os membros discutem requisitos técnicos, melhorias em sistemas de atendimento, integração de dados no Google Ads e BigQuery, e compartilham relatórios e resultados, visando aumentar a eficiência das operações.""",2025-08-14 01:58:49.601841+00,t,120363419499361913-group,PARTNER,20,"Trata-se de um grupo reunindo a operação, o marketing e área de tecnologia",Resumir o que foi falado,Falamos sobre nossa própria empresa,https://chat.whatsapp.com/F4YUl8uJD7p2g7B4WTLoz7,2025-08-19 16:21:09.994802+00
187,asst_WPqybaOy3IMPH1lJdu5iS7t8,MAKE EM FOCO,"Um espaço de colaboração entre profissionais da beleza para trocar informações, estratégias de vendas, e oportunidades de negócios, visando o crescimento e a consolidação no mercado.",2025-04-30 14:28:40.285335+00,t,120363025513527780-group,TRIAL,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
264,asst_elYSM2EPHRA808lh2eQbRkhy,CS1 - Dúvidas,"Um grupo destinado a esclarecer dúvidas e gerenciar contratos e chamadas agendadas, promovendo a colaboração e suporte entre membros da equipe de vendas.",2025-08-04 19:02:47.570938+00,t,120363405847699903-group,PAARTNER,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
176,asst_FgbKRT4GUBZ9Ih90m0Y3OCYR,Linkedin na Prática,\N,2025-04-22 16:29:05.210655+00,t,120363231508455800-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
257,asst_Yuxp7GVM0spspzZg42DjpmNR,Mogauma Comunidade,"Um grupo onde membros compartilham imagens e informações, além de registrar a entrada e saída de participantes.",2025-07-29 22:56:45.946858+00,t,556181220615-1508083677,PARTNER,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
155,asst_eoXs6tL9fXsbthJlsIioToZA,Arrematador - JUDICIAL,"Um grupo voltado para discutir estratégias de arrematação judicial, tirar dúvidas sobre processos, compartilhar experiências e informações relevantes sobre leilões de imóveis e questões legais associadas.",2025-04-13 04:08:37.74258+00,t,120363399379588784-group,PAID,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
292,asst_GaZDoxXxijBhHvvUGJ7LMK2L,HUB SÃO PAULO 5G Company,"""Um grupo focado em discutir atualizações, compartilhar resumos e coordenar ações relacionadas ao desenvolvimento e implementação da tecnologia 5G em São Paulo.""",2025-08-17 10:27:12.671869+00,t,120363420354860906-group,TRIAL,19,"Marketing, Vendas e Negócios Digitais",Resumir o que foi falado,"É um HUb de empresários da Saúde. Médicos, Dentistas, Donos de Clínicas ou Consultórios. Marcamos eventos, realizamos inscrições, e levamos conteúdo de gestão, vendas, marketing, pessoas ",https://chat.whatsapp.com/JDQwzIf99iUJs88ZiV9jtl,2025-08-19 16:21:09.994802+00
74,asst_zoutv2t7HhrLKVLVDWrkLspl,MOAI | Networking Gourmet,"Um espaço para promover networking entre empresários e profissionais, com encontros semanais que combinam boa comida e troca de experiências.",2025-04-03 19:06:37.337198+00,t,120363294624724412-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
288,asst_sQtLUL7VoZnxFgtj5wIBtvPi,Família Orquídea Freire🌾,Um espaço para a família compartilhar momentos e imagens significativas.,2025-08-09 14:15:20.223308+00,t,556199728782-1378499716,TRIAL,19,Grupo da família ,Resumir o que foi falado,Assuntos familiares,https://chat.whatsapp.com/D52lGkvUtPq0yzBjkIhQP3?mode=ac_t,2025-08-19 16:21:09.994802+00
91,asst_JiRMAvSOfmPbKnczqsXH7DIx,Lithothamnium,"Um grupo nacional de estudos e trocas de informações técnicas sobre o Lithothamnium, destinado a especialistas e profissionais da área, com foco exclusivo no uso do produto sem associações comerciais.",2025-04-03 20:45:26.886913+00,t,120363406234544229-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
213,asst_7Jp4PAY8AjHWPB0sYzQz4JXM,DFAR - Moradores 2,"Um grupo destinado a moradores de Arniqueira para trocar informações sobre segurança, eventos, serviços locais e questões de infraestrutura na região.",2025-05-16 20:59:46.087505+00,t,120363406656986681-group,SPY,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
211,asst_MkzZjrDnUURQc7qYI39rLQ09,DFVP - Moradores 5,"Um grupo voltado para a comunicação e troca de informações entre moradores de Vicente Pires, abordando questões locais, como serviços, segurança e problemas de infraestrutura.",2025-05-16 20:58:53.840034+00,t,120363371154581640-group,SPY,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
265,asst_mQrtkzzvZlT8nqR32jZQER1g,MAGNUS LANÇAMENTOS🚀 - 2025 É TUDO NOSSO!,"Um grupo voltado para a troca de informações e estratégias relacionadas a lançamentos esperados para 2025, com um tom otimista e de conquista.",2025-08-05 05:42:38.57854+00,t,120363029551318365-group,TRIAL,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
256,asst_vYEXnVxDVk1oERSQtJnOYhDK,Bunker B2Mamy - Clevels  was,"Um espaço colaborativo onde membros compartilham experiências, dicas e recursos sobre empreendedorismo, tecnologia e desenvolvimento pessoal, promovendo a conexão e o apoio mútuo entre mulheres.",2025-07-24 15:53:34.453907+00,t,5511986444619-1486079626,PARTNER,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
231,asst_Zk6HaH7cKxOccnJarXt9Nhax,Creator Economy em Cannes,"Um grupo voltado para a interação e troca de experiências entre criadores na economia digital durante o evento de Cannes, promovendo discussões sobre tendências, festas e networking.",2025-06-17 18:24:55.657967+00,t,120363288736887111-group,TRIAL,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
196,asst_QWuXeJNMlj3zP37IzDd9DLiA,HUB-A LIGA EMPRESARIAL,"Um grupo voltado ao compartilhamento de conteúdos audiovisuais e documentos relacionados a temas empresariais e profissionais, promovendo interação e troca de informações entre os membros.",2025-05-05 02:07:23.33364+00,t,120363402554525862-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
168,asst_YucPwCPq1yM5lsvjRBKWBQxG,Agência Desdobre,Um grupo focado em compartilhar links úteis e informações relacionadas a marketing e ferramentas digitais.,2025-04-15 18:30:42.279479+00,t,120363304642287304-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
212,asst_QeCukXKJKDYpjxGtxabVBlct,DFVP - Moradores 6,"Um grupo voltado para troca de informações e apoio entre moradores de Vicente Pires, incluindo discussões sobre pets desaparecidos, recomendações de serviços locais e questões da comunidade.",2025-05-16 20:59:21.069829+00,t,120363386941784190-group,SPY,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
232,asst_rrIb9C2TVmRlqw0SWCR5vz65,🔥 Bóris - Testes,\N,2025-06-17 23:14:13.641284+00,f,120363338458942788-group,SPY,19,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
127,asst_2BhdmPRVccsQiuIiKitifgCK,Kite Pilequis 04/10 a 18/10,"Um grupo voltado para a organização de uma viagem de kite surf ao Ceará, onde os membros discutem destinos, logística, e compartilham experiências e sugestões de locais para aproveitar a prática e a convivência entre amigos.",2025-04-05 21:28:20.279029+00,t,120363202186847476-group,SPY,20,\N,\N,\N,\N,2025-08-19 16:21:09.994802+00
